id_votacao,id_deputado,tipoVoto,dataRegistroVoto
2367600-49,171623,1.0,2023-09-27T21:47:18
2367600-49,74161,1.0,2023-09-27T21:47:17
2367600-49,220650,1.0,2023-09-27T21:47:07
2367600-49,73801,1.0,2023-09-27T21:46:54
2367600-49,204369,Obstrução,2023-09-27T21:46:54
2367600-49,220527,1.0,2023-09-27T21:46:51
2367600-49,220526,Obstrução,2023-09-27T21:46:49
2367600-49,220616,0.0,2023-09-27T21:46:41
2367600-49,141456,1.0,2023-09-27T21:46:39
2367600-49,178909,1.0,2023-09-27T21:46:37
2367600-49,204441,1.0,2023-09-27T21:46:33
2367600-49,224333,1.0,2023-09-27T21:46:33
2367600-49,141458,1.0,2023-09-27T21:46:28
2367600-49,204364,Obstrução,2023-09-27T21:46:28
2367600-49,220692,1.0,2023-09-27T21:46:17
2367600-49,220666,Obstrução,2023-09-27T21:46:09
2367600-49,92346,Obstrução,2023-09-27T21:46:05
2367600-49,204390,Obstrução,2023-09-27T21:46:03
2367600-49,157130,1.0,2023-09-27T21:45:59
2367600-49,204574,1.0,2023-09-27T21:45:54
2367600-49,160545,1.0,2023-09-27T21:45:51
2367600-49,204367,Obstrução,2023-09-27T21:45:51
2367600-49,204473,Obstrução,2023-09-27T21:45:50
2367600-49,220596,Obstrução,2023-09-27T21:45:50
2367600-49,204525,Obstrução,2023-09-27T21:45:47
2367600-49,220689,Obstrução,2023-09-27T21:45:46
2367600-49,178829,Obstrução,2023-09-27T21:45:40
2367600-49,220655,Obstrução,2023-09-27T21:45:40
2367600-49,226075,Obstrução,2023-09-27T21:45:30
2367600-49,204563,Obstrução,2023-09-27T21:45:26
2367600-49,74084,1.0,2023-09-27T21:45:24
2367600-49,74090,1.0,2023-09-27T21:45:23
2367600-49,220558,Obstrução,2023-09-27T21:45:17
2367600-49,209787,Obstrução,2023-09-27T21:45:15
2367600-49,74374,1.0,2023-09-27T21:45:13
2367600-49,220571,1.0,2023-09-27T21:45:11
2367600-49,220593,Obstrução,2023-09-27T21:45:06
2367600-49,220621,Obstrução,2023-09-27T21:44:53
2367600-49,204378,Obstrução,2023-09-27T21:44:52
2367600-49,141516,1.0,2023-09-27T21:44:42
2367600-49,220704,1.0,2023-09-27T21:44:38
2367600-49,222142,1.0,2023-09-27T21:44:34
2367600-49,220674,1.0,2023-09-27T21:44:30
2367600-49,220607,1.0,2023-09-27T21:44:28
2367600-49,74273,Obstrução,2023-09-27T21:44:24
2367600-49,220589,1.0,2023-09-27T21:44:24
2367600-49,122974,1.0,2023-09-27T21:44:23
2367600-49,220575,Obstrução,2023-09-27T21:44:22
2367600-49,92102,1.0,2023-09-27T21:44:15
2367600-49,220639,1.0,2023-09-27T21:44:05
2367600-49,160642,Obstrução,2023-09-27T21:44:00
2367600-49,220640,1.0,2023-09-27T21:44:00
2367600-49,220699,1.0,2023-09-27T21:44:00
2367600-49,226708,1.0,2023-09-27T21:43:59
2367600-49,74160,1.0,2023-09-27T21:43:58
2367600-49,122158,1.0,2023-09-27T21:43:58
2367600-49,178983,Obstrução,2023-09-27T21:43:50
2367600-49,160553,1.0,2023-09-27T21:43:49
2367600-49,204409,1.0,2023-09-27T21:43:46
2367600-49,220587,1.0,2023-09-27T21:43:42
2367600-49,178997,1.0,2023-09-27T21:43:38
2367600-49,220603,1.0,2023-09-27T21:43:38
2367600-49,226179,1.0,2023-09-27T21:43:34
2367600-49,107283,1.0,2023-09-27T21:43:32
2367600-49,204368,1.0,2023-09-27T21:43:20
2367600-49,160592,1.0,2023-09-27T21:43:19
2367600-49,178964,1.0,2023-09-27T21:43:10
2367600-49,160640,Obstrução,2023-09-27T21:43:08
2367600-49,220653,1.0,2023-09-27T21:43:08
2367600-49,74858,1.0,2023-09-27T21:43:07
2367600-49,204482,1.0,2023-09-27T21:43:06
2367600-49,220625,1.0,2023-09-27T21:43:06
2367600-49,166402,1.0,2023-09-27T21:42:54
2367600-49,204394,1.0,2023-09-27T21:42:52
2367600-49,74467,1.0,2023-09-27T21:42:49
2367600-49,204571,1.0,2023-09-27T21:42:38
2367600-49,220548,1.0,2023-09-27T21:42:34
2367600-49,220617,1.0,2023-09-27T21:42:30
2367600-49,221339,1.0,2023-09-27T21:42:29
2367600-49,141555,1.0,2023-09-27T21:42:25
2367600-49,220581,1.0,2023-09-27T21:42:24
2367600-49,74398,1.0,2023-09-27T21:42:21
2367600-49,220591,1.0,2023-09-27T21:42:18
2367600-49,220608,1.0,2023-09-27T21:42:18
2367600-49,220667,1.0,2023-09-27T21:42:17
2367600-49,220647,1.0,2023-09-27T21:42:16
2367600-49,220701,1.0,2023-09-27T21:42:16
2367600-49,220534,1.0,2023-09-27T21:42:13
2367600-49,204457,1.0,2023-09-27T21:42:08
2367600-49,73806,1.0,2023-09-27T21:42:04
2367600-49,220695,1.0,2023-09-27T21:41:58
2367600-49,224117,1.0,2023-09-27T21:41:54
2367600-49,220669,1.0,2023-09-27T21:41:52
2367600-49,178929,1.0,2023-09-27T21:41:51
2367600-49,220585,1.0,2023-09-27T21:41:46
2367600-49,220556,1.0,2023-09-27T21:41:45
2367600-49,138286,1.0,2023-09-27T21:41:44
2367600-49,204388,Obstrução,2023-09-27T21:41:44
2367600-49,220615,1.0,2023-09-27T21:41:38
2367600-49,141408,1.0,2023-09-27T21:41:37
2367600-49,204515,1.0,2023-09-27T21:41:37
2367600-49,220594,Abstenção,2023-09-27T21:41:37
2367600-49,141421,1.0,2023-09-27T21:41:35
2367600-49,141531,1.0,2023-09-27T21:41:34
2367600-49,74044,1.0,2023-09-27T21:41:33
2367600-49,220567,1.0,2023-09-27T21:41:32
2367600-49,91228,1.0,2023-09-27T21:41:31
